timestamp,Bx,By
2022-06-08 18:20:44+00:00,6.94017876923077,19.301273538461537
2022-06-08 18:20:48+00:00,4.503429201101929,22.075798898071625
2022-06-08 18:20:52+00:00,4.973063812154696,21.01741685082873
2022-06-08 18:20:56+00:00,5.101522928176796,19.505146961325966
2022-06-08 18:21:00+00:00,4.370163736263737,19.059912637362636
2022-06-08 18:21:04+00:00,4.3956522099447515,20.665888950276244
2022-06-08 18:21:08+00:00,3.498224316939891,20.720716666666668
2022-06-08 18:21:12+00:00,4.871259065934066,20.61770631868132
2022-06-08 18:21:16+00:00,3.9239109589041097,19.422961643835617
2022-06-08 18:21:20+00:00,3.8784446575342466,19.173361643835616
2022-06-08 18:21:24+00:00,3.6803975206611574,20.069234710743803
2022-06-08 18:21:28+00:00,3.270833152173913,19.65853043478261
2022-06-08 18:21:32+00:00,-10.772520596205963,12.70210189701897
2022-06-08 18:21:36+00:00,-22.75955885558583,2.3978768392370573
2022-06-08 18:21:40+00:00,-20.45153233695652,4.282410326086956
2022-06-08 18:21:44+00:00,-20.84157681940701,5.556591374663072
2022-06-08 18:21:48+00:00,-22.638808469945356,5.232034153005465
2022-06-08 18:21:52+00:00,-20.238406702412867,6.123682037533513
2022-06-08 18:21:56+00:00,-20.59561338797814,7.983477595628416
2022-06-08 18:22:00+00:00,-25.039784594594597,6.59485054054054
2022-06-08 18:22:04+00:00,-20.649120652173913,6.737744836956522
2022-06-08 18:22:08+00:00,-20.92193543956044,5.233128296703296
2022-06-08 18:22:12+00:00,-20.62137868852459,4.958575956284153
2022-06-08 18:22:16+00:00,-20.205294490358128,5.020270523415978
2022-06-08 18:22:20+00:00,-23.235947967479675,6.4219788617886175
2022-06-08 18:22:24+00:00,-20.05092098092643,7.267259400544958
2022-06-08 18:22:28+00:00,-19.881989890710383,5.798022404371585
2022-06-08 18:22:32+00:00,-17.769414285714284,1.6668385444743936
2022-06-08 18:22:36+00:00,-20.129562534435262,6.176357851239669
2022-06-08 18:22:40+00:00,-20.735300552486187,9.782027071823205
2022-06-08 18:22:44+00:00,-21.95942983425414,9.953892265193371
2022-06-08 18:22:48+00:00,-19.756159779614325,4.434271900826446
2022-06-08 18:22:52+00:00,-19.52343038674033,4.0592381215469615
2022-06-08 18:22:56+00:00,-21.419617403314916,4.948150828729282
2022-06-08 18:23:00+00:00,-24.56133663911846,4.36334517906336
2022-06-08 18:23:04+00:00,-21.557807103825137,5.0808622950819675
2022-06-08 18:23:08+00:00,-22.48483076923077,5.328936538461538
2022-06-08 18:23:12+00:00,-12.027938461538461,-8.495403021978023
2022-06-08 18:23:16+00:00,-5.653654594594594,-17.21525
2022-06-08 18:23:20+00:00,-6.057631367292226,-16.66037292225201
2022-06-08 18:23:24+00:00,-4.21969397260274,-15.772725479452054
2022-06-08 18:23:28+00:00,-5.044181029810298,-16.556673441734418
2022-06-08 18:23:32+00:00,-4.212689544235925,-16.743521715817693
2022-06-08 18:23:36+00:00,-10.346211653116532,-9.968966124661247
2022-06-08 18:23:40+00:00,-21.800093698630135,2.599952602739726
2022-06-08 18:23:44+00:00,-19.478744505494504,2.368385164835165
2022-06-08 18:23:48+00:00,-7.931689531680441,-15.016761157024794
2022-06-08 18:23:52+00:00,-5.016135261707989,-18.35487658402204
2022-06-08 18:23:56+00:00,-4.629213424657534,-16.66702383561644
2022-06-08 18:24:00+00:00,-3.908732608695652,-16.96382663043478
2022-06-08 18:24:04+00:00,-3.4232662162162164,-17.468177297297295
2022-06-08 18:24:08+00:00,-5.255653443526171,-16.450541873278237
2022-06-08 18:24:12+00:00,-20.367358695652175,9.091015217391304
2022-06-08 18:24:16+00:00,-19.38997219251337,7.904449197860963
2022-06-08 18:24:20+00:00,-20.63278306451613,7.866758870967741
2022-06-08 18:24:24+00:00,-19.994767955801105,8.531113812154695
2022-06-08 18:24:28+00:00,-19.131190566037734,6.717066037735849
2022-06-08 18:24:32+00:00,-21.150780487804877,9.276647425474254
2022-06-08 18:24:36+00:00,-21.200594369973192,8.792768632707775
2022-06-08 18:24:40+00:00,-14.61766961325967,1.5954118784530387
2022-06-08 18:24:44+00:00,-5.951105509641873,-13.84573526170799
2022-06-08 18:24:48+00:00,-16.106472950819672,-1.7066666666666666
2022-06-08 18:24:52+00:00,-21.202415890410958,10.28051506849315
2022-06-08 18:24:56+00:00,-20.917565675675675,5.930854594594595
2022-06-08 18:25:00+00:00,-20.551747425474254,7.181576151761518
2022-06-08 18:25:04+00:00,-19.417414441416895,5.774561307901908
2022-06-08 18:25:08+00:00,-19.54889973262032,5.279297593582887
2022-06-08 18:25:12+00:00,-20.31619331550802,7.551756951871658
2022-06-08 18:25:16+00:00,-21.325773901098902,5.429379395604395
2022-06-08 18:25:20+00:00,-21.254766216216215,5.935610810810811
2022-06-08 18:25:24+00:00,-21.109897849462364,6.7090908602150545
2022-06-08 18:25:28+00:00,-21.344315531335152,5.7292460490463215
2022-06-08 18:25:32+00:00,-19.557248767123287,3.604692602739726
2022-06-08 18:25:36+00:00,-20.500133152173913,5.22633125
2022-06-08 18:25:40+00:00,-19.572076216216217,3.9554051351351354
2022-06-08 18:25:44+00:00,-18.308818508287292,4.955924309392265
2022-06-08 18:25:48+00:00,-19.15430941828255,5.722618005540166
2022-06-08 18:25:52+00:00,-18.490668406593407,3.9908832417582416
2022-06-08 18:25:56+00:00,-19.11834005524862,3.23900635359116
2022-06-08 18:26:00+00:00,-19.492174931129476,2.0015123966942148
2022-06-08 18:26:04+00:00,3.4704090410958903,16.731339452054794
