<function qs1 at 0x000001ECA3BAB160>,<function qs2 at 0x000001ECA3BAB1F0>,<function qs3 at 0x000001ECA3BAB280>,<function qs4 at 0x000001ECA3BAB310>,<function qs5 at 0x000001ECA3BAB3A0>,<function merge1 at 0x000001ECA3BAB430>,<function partition_sort at 0x000001ECA3BAB4C0>
0.0312647819519043,0.04686856269836426,0.031238317489624023,0.04687380790710449,0.046868085861206055,0.031225919723510742,0.031247377395629883
0.031241178512573242,0.04686236381530762,0.031241416931152344,0.06248617172241211,0.027340173721313477,0.06251788139343262,0.015611886978149414
0.03124547004699707,0.04686093330383301,0.04686379432678223,0.04686403274536133,0.04686450958251953,0.04686617851257324,0.01562190055847168
0.0468595027923584,0.03124237060546875,0.04686903953552246,0.04293513298034668,0.03127694129943848,0.04685473442077637,0.031240463256835938
0.031247377395629883,0.046857357025146484,0.03124260902404785,0.04687666893005371,0.031241655349731445,0.04685211181640625,0.031245946884155273
0.015617847442626953,0.04686474800109863,0.046863555908203125,0.043092966079711914,0.03127551078796387,0.04685354232788086,0.031241655349731445
0.031243324279785156,0.046871185302734375,0.04685521125793457,0.031253814697265625,0.04686427116394043,0.04686594009399414,0.015609025955200195
0.031242847442626953,0.04686450958251953,0.031239748001098633,0.043027639389038086,0.04689836502075195,0.04686450958251953,0.015611410140991211
0.04686307907104492,0.04686403274536133,0.031242847442626953,0.046874046325683594,0.04686427116394043,0.03123307228088379,0.03124094009399414
0.031240463256835938,0.04686403274536133,0.031243085861206055,0.043023109436035156,0.04686427116394043,0.046864986419677734,0.031231164932250977
0.031242847442626953,0.03124856948852539,0.04686307907104492,0.031247854232788086,0.046863555908203125,0.046865224838256836,0.015610456466674805
0.03124213218688965,0.04686236381530762,0.04686427116394043,0.03951311111450195,0.04685235023498535,0.04688262939453125,0.03122258186340332
0.031241893768310547,0.03124260902404785,0.04686617851257324,0.03125762939453125,0.04684710502624512,0.04688239097595215,0.01560354232788086
0.03124237060546875,0.04686379432678223,0.031242847442626953,0.04310727119445801,0.031232833862304688,0.046851396560668945,0.03124380111694336
0.031241893768310547,0.046861886978149414,0.031243085861206055,0.0468752384185791,0.031247854232788086,0.046849966049194336,0.03124260902404785
